"","long","lat"
"V.194",72.6778504673821,-25.7229039331655
"V.195",73.1078450265803,-26.8818248183239
"V.196",73.121170725651,-27.9242363366202
"V.197",73.134954047396,-28.9644485340037
"V.198",73.1492837842747,-30.0017288726861
"V.199",73.1641052947737,-31.0356521733913
"V.200",73.1794322392712,-32.0660442662957
"V.201",73.1952714479564,-33.0928095287508
"V.202",73.2117526944237,-34.1159240550945
"V.203",73.2291286956722,-35.1351897698409
"V.204",73.2468188856225,-36.1505554465713
"V.205",73.265198924679,-37.1623147834198
"V.206",73.2843029637875,-38.1705292520892
"V.207",73.3041924746506,-39.1753217959843
"V.208",73.3248333063224,-40.1767846226591
"V.209",73.3464440248563,-41.1750440906132
"V.210",73.368847045334,-42.1702094828732
"V.211",73.3934015754002,-43.1618368371432
"V.212",73.4176965582779,-44.1499637194635
"V.213",73.4432073148279,-45.1354234129129
"V.214",73.46976992051,-46.1183866722207
"V.215",73.4977053942154,-47.0990447426836
"V.216",73.5268703019714,-48.0775376431797
"V.217",73.5575924928581,-49.0540702793839
"V.218",73.589728532903,-50.0287997456473
"V.219",73.6236131013754,-51.0019343627394
"V.220",73.6591300850595,-51.9736448853896
"V.221",73.6967029556837,-52.9441088985163
"V.222",73.7362702415456,-53.9135210625108
"V.223",73.778187112482,-54.8820657924807
"V.224",73.8224877194387,-55.8499070129661
"V.225",73.869506741685,-56.8172564598312
"V.226",73.9194559150854,-57.7842951330891
"V.227",73.9725674660714,-58.7512245233203
"V.228",74.0292033946691,-59.7181948946866
"V.229",74.0896915499588,-60.6854316434304
"V.230",74.1545305357497,-61.6530850337136
"V.231",74.2240208803654,-62.6213941221572
"V.232",74.2989412253713,-63.590481852166
"V.233",74.3796604009825,-64.5605599596046
"V.234",74.467223426142,-65.5318060293913
"V.235",74.5620674329569,-66.5044113068228
"V.236",74.6655721196392,-67.4785260560608
"V.237",74.7785707692679,-68.4543278620239
"V.238",74.9029348536755,-69.4320079700087
"V.239",75.0399416182368,-70.411716644177
"V.240",75.1921182329447,-71.3936041486905
"V.241",75.3616435281444,-72.377820747711
"V.242",75.5521648248527,-73.364509875211
"V.243",75.7642831797166,-74.3545457954043
"V.244",76.0094391595959,-75.3477987346968
"V.245",76.2910751798322,-76.3438110704139
"V.246",76.618610071291,-77.342637444069
"V.247",77.0036278348046,-78.3442778556622
"V.248",77.4628965847855,-79.3486844938693
"V.249",78.0200760965184,-80.3557753964202
"V.250",78.7100344857164,-81.3653456576398
"V.251",79.5844216428831,-82.3772245227988
"V.252",80.733327763171,-83.3905445578727
"V.253",82.3041756496255,-84.4038167816225
"V.254",84.5765727562996,-85.4145618353793
"V.255",88.1397185217552,-86.4174453414014
"V.256",94.4500005223357,-87.3989435251323
"V.257",108.000009835563,-88.3143732890215
"V.258",144.000017667543,-88.961082920395
"V.259",109.107852858561,26.8818248183239
"V.260",109.784041586392,26.0331174648892
"V.261",110.449281520984,25.1832199509915
"V.262",111.103695605741,24.3329501917842
"V.263",111.74748191615,23.4827760552252
"V.264",112.381029772993,22.6330305130366
"V.265",113.004755817809,21.7839218859881
"V.266",113.619185975165,20.9356772778696
"V.267",114.224825679059,20.088709915126
"V.268",114.821627118167,19.2429224675614
"V.269",115.410403085001,18.3983593314056
"V.270",115.991611202234,17.5550922236448
"V.271",116.565702262352,16.7131382197519
"V.272",117.13304509557,15.8725126876526
"V.273",117.694131475508,15.0332770990493
"V.274",118.24926193049,14.1953554680877
"V.275",118.799283403973,13.3597253655926
"V.276",119.342980122284,12.5255022820665
"V.277",119.882004991203,11.692607670334
"V.278",120.416590237162,10.8609091954799
"V.279",120.94722763378,10.0304034424096
"V.280",121.474135747111,9.20097002903898
"V.281",121.997806350776,8.37260639404712
"V.282",122.518430690071,7.5451588581777
"V.283",123.036500538617,6.71858174454063
"V.284",123.552166160574,5.89275552482543
"V.285",124.065932989943,5.06765543959638
"V.286",124.578005932397,4.24313677422042
"V.287",125.088781138909,3.41915043671289
"V.288",125.59849083591,2.59558436928274
"V.289",126.107503853616,1.77233761319628
"V.290",126.61612072035,0.94933386243389
"V.291",127.124655624815,0.126430323353227
"V.292",127.633381774575,-0.696416386419108
"V.293",128.142640679092,-1.51933844171572
"V.294",128.652760187443,-2.34238968363719
"V.295",129.164013507197,-3.16573483713638
"V.296",129.67675580819,-3.98938756259163
"V.297",130.19124663761,-4.81350708878796
"V.298",130.707909467187,-5.63810302067891
"V.299",131.226935542216,-6.46337044554263
"V.300",131.748748334427,-7.28929484922714
"V.301",132.27358007025,-8.11603716806477
"V.302",132.801908862929,-8.94359825582914
"V.303",133.333953278516,-9.7721300842293
"V.304",133.870177769876,-10.601601917414
"V.305",134.410828223817,-11.4321682884132
"V.306",134.956396413961,-12.2637984613756
"V.307",135.506773057281,-13.0976595448757
"V.308",136.063802304852,-13.9327167652541
"V.309",136.626760156623,-14.7689829291157
"V.310",137.196152046592,-15.6063777817376
"V.311",137.772305823839,-16.4449645023697
"V.312",138.355631299715,-17.284667958931
"V.313",138.946565606326,-18.1254744910434
"V.314",139.545559536158,-18.9673294571933
"V.315",140.152913617534,-19.8104770366436
"V.316",140.769461133532,-20.6544493614362
"V.317",141.395338687937,-21.4990620164636
"V.318",142.03094243172,-22.3441749828476
"V.319",142.67669583661,-23.1895440813255
"V.320",143.332967732822,-24.0348551231954
"V.321",144.000004007165,-24.8795531555874
"V.322",144.677859301154,-25.7229039331655
"V.323",145.107847030163,-26.8818248183239
"V.324",145.121179559423,-27.9242363366202
"V.325",145.134962881168,-28.9644485340037
"V.326",145.149292618046,-30.0017288726861
"V.327",145.164114128545,-31.0356521733913
"V.328",145.179441073043,-32.0660442662957
"V.329",145.195273451539,-33.0928095287508
"V.330",145.211761528195,-34.1159240550945
"V.331",145.229137529444,-35.1351897698409
"V.332",145.246827719394,-36.1505554465713
"V.333",145.265200928262,-37.1623147834198
"V.334",145.284311797559,-38.1705292520892
"V.335",145.304201308422,-39.1753217959843
"V.336",145.324842140094,-40.1767846226591
"V.337",145.346452858628,-41.1750440906132
"V.338",145.368855879106,-42.1702094828732
"V.339",145.393417239361,-43.1618368371432
"V.340",145.41770539205,-44.1499637194635
"V.341",145.443222978789,-45.1354234129129
"V.342",145.469778754282,-46.1183866722207
"V.343",145.497714227987,-47.0990447426836
"V.344",145.526879135743,-48.0775376431797
"V.345",145.55760132663,-49.0540702793839
"V.346",145.589744196864,-50.0287997456473
"V.347",145.623621935147,-51.0019343627394
"V.348",145.659138918831,-51.9736448853896
"V.349",145.696704959266,-52.9441088985163
"V.350",145.736279075317,-53.9135210625108
"V.351",145.778189116065,-54.8820657924807
"V.352",145.8225033834,-55.8499070129661
"V.353",145.869508745268,-56.8172564598312
"V.354",145.919464748857,-57.7842951330891
"V.355",145.972576299843,-58.7512245233203
"V.356",146.029212228441,-59.7181948946866
"V.357",146.08970038373,-60.6854316434304
"V.358",146.154546199711,-61.6530850337136
"V.359",146.224022883948,-62.6213941221572
"V.360",146.298950059143,-63.590481852166
"V.361",146.379669234754,-64.5605599596046
"V.362",146.467232259914,-65.5318060293913
"V.363",146.562076266729,-66.5044113068228
"V.364",146.665580953411,-67.4785260560608
"V.365",146.77857960304,-68.4543278620239
"V.366",146.902943687447,-69.4320079700087
"V.367",147.039957282198,-70.411716644177
"V.368",147.192120236527,-71.3936041486905
"V.369",147.361659192105,-72.377820747711
"V.370",147.552166828435,-73.364509875211
"V.371",147.764285183299,-74.3545457954043
"V.372",148.009447993368,-75.3477987346968
"V.373",148.291084013604,-76.3438110704139
"V.374",148.618618905063,-77.342637444069
"V.375",149.003636668576,-78.3442778556622
"V.376",149.462898588368,-79.3486844938693
"V.377",150.020078100101,-80.3557753964202
"V.378",150.710036489299,-81.3653456576398
"V.379",151.584437306844,-82.3772245227988
"V.380",152.733343427132,-83.3905445578727
"V.381",154.304177653208,-84.4038167816225
"V.382",156.576581590071,-85.4145618353793
"V.383",160.139727355527,-86.4174453414014
"V.384",166.450002525918,-87.3989435251323
"V.385",-179.999994991044,-88.3143732890215
"V.386",-143.999980328874,-88.961082920395
"V.387",-178.892151968046,26.8818248183239
"V.388",-178.215963240215,26.0331174648892
"V.389",-177.550716475434,25.1832199509915
"V.390",-176.896302390677,24.3329501917842
"V.391",-176.252516080268,23.4827760552252
"V.392",-175.618975053614,22.6330305130366
"V.393",-174.995242178609,21.7839218859881
"V.394",-174.380812021253,20.9356772778696
"V.395",-173.775179147547,20.088709915126
"V.396",-173.17837087825,19.2429224675614
"V.397",-172.589594911417,18.3983593314056
"V.398",-172.008373133805,17.5550922236448
"V.399",-171.434295734066,16.7131382197519
"V.400",-170.866952900848,15.8725126876526
"V.401",-170.305852860531,15.0332770990493
"V.402",-169.750749726306,14.1953554680877
"V.403",-169.200714592445,13.3597253655926
"V.404",-168.657017874133,12.5255022820665
"V.405",-168.117979344836,11.692607670334
"V.406",-167.583421419634,10.8609091954799
"V.407",-167.052770362638,10.0304034424096
"V.408",-166.525862249306,9.20097002903898
"V.409",-166.002191645641,8.37260639404712
"V.410",-165.481553645968,7.5451588581777
"V.411",-164.963497457801,6.71858174454063
"V.412",-164.447831835843,5.89275552482543
"V.413",-163.934065006475,5.06765543959638
"V.414",-163.42199206402,4.24313677422042
"V.415",-162.911216857509,3.41915043671289
"V.416",-162.401520820886,2.59558436928274
"V.417",-161.892494142801,1.77233761319628
"V.418",-161.383877276067,0.94933386243389
"V.419",-160.875342371603,0.126430323353227
"V.420",-160.366616221842,-0.696416386419108
"V.421",-159.857357317326,-1.51933844171572
"V.422",-159.347237808974,-2.34238968363719
"V.423",-158.835998149599,-3.16573483713638
"V.424",-158.323242188228,-3.98938756259163
"V.425",-157.808737698429,-4.81350708878796
"V.426",-157.292088529231,-5.63810302067891
"V.427",-156.77307611458,-6.46337044554263
"V.428",-156.251263322369,-7.28929484922714
"V.429",-155.726417926167,-8.11603716806477
"V.430",-155.198089133488,-8.94359825582914
"V.431",-154.666044717901,-9.7721300842293
"V.432",-154.129820226542,-10.601601917414
"V.433",-153.5891697726,-11.4321682884132
"V.434",-153.043601582456,-12.2637984613756
"V.435",-152.493224939137,-13.0976595448757
"V.436",-151.936195691565,-13.9327167652541
"V.437",-151.373237839795,-14.7689829291157
"V.438",-150.803845949826,-15.6063777817376
"V.439",-150.227692172578,-16.4449645023697
"V.440",-149.644366696703,-17.284667958931
"V.441",-149.053432390091,-18.1254744910434
"V.442",-148.45443846026,-18.9673294571933
"V.443",-147.847084378884,-19.8104770366436
"V.444",-147.230523202507,-20.6544493614362
"V.445",-146.60465930848,-21.4990620164636
"V.446",-145.969055564697,-22.3441749828476
"V.447",-145.323302159807,-23.1895440813255
"V.448",-144.667030263596,-24.0348551231954
"V.449",-143.999993989252,-24.8795531555874
"V.450",-143.322138695264,-25.7229039331655
"V.451",-142.892150966255,-26.8818248183239
"V.452",-142.878818436995,-27.9242363366202
"V.453",-142.86503511525,-28.9644485340037
"V.454",-142.850705378371,-30.0017288726861
"V.455",-142.835883867872,-31.0356521733913
"V.456",-142.820556923375,-32.0660442662957
"V.457",-142.8047108845,-33.0928095287508
"V.458",-142.788236468222,-34.1159240550945
"V.459",-142.770860466974,-35.1351897698409
