"","long","lat"
"V.187",151.776993999925,-74.8662020963192
"V.188",152.915914383646,-76.8560274468407
"V.189",154.473498042733,-78.8515013638057
"V.190",156.72726922354,-80.8484574318207
"V.191",160.259556194326,-82.8376817256952
"V.192",166.524847738843,-84.7922154887752
"V.193",-179.999994991044,-86.62368290339
"V.194",-143.999939347739,-87.9243421666571
"V.195",-177.780606982518,27.189244802677
"V.196",-176.442791490166,25.4776796513945
"V.197",-175.147814944288,23.7645042830153
"V.198",-173.89332775981,22.0530945185364
"V.199",-172.675436728905,20.3456889524585
"V.200",-171.491546379689,18.6431225754076
"V.201",-170.337353692983,16.9457932459027
"V.202",-169.209347951556,15.2540578413281
"V.203",-168.103690589092,13.5695001117975
"V.204",-167.020053756513,11.8906601043759
"V.205",-165.953219189292,10.2168454086361
"V.206",-164.900263566465,8.54759413303556
"V.207",-163.858454812363,6.88216136006785
"V.208",-162.82512915321,5.2200100661095
"V.209",-161.797568173716,3.56039938907899
"V.210",-160.773285685025,1.9026238985011
"V.211",-159.749713536006,0.245820962827992
"V.212",-158.724420179318,-1.41064996161843
"V.213",-157.694810143073,-3.06761404706727
"V.214",-156.658342596902,-4.72573232776413
"V.215",-155.612449389676,-6.38580468289385
"V.216",-154.554576030646,-8.04841146509247
"V.217",-153.481881161118,-9.71415970742247
"V.218",-152.391550743152,-11.3835134358606
"V.219",-151.281289833188,-13.0589443251127
"V.220",-150.145661600646,-14.7386142005185
"V.221",-148.983259026559,-16.4223548686696
"V.222",-147.79091290315,-18.1098794616209
"V.223",-146.565331079239,-19.8013109227775
"V.224",-145.302565705487,-21.4948051010633
"V.225",-143.999993989252,-23.1887210435305
"V.226",-142.655293666217,-24.8795224197361
"V.227",-141.780619641105,-27.189244802677
"V.228",-141.725513674881,-29.2783811037305
"V.229",-141.666309595156,-31.356373951153
"V.230",-141.602870798145,-33.4206381183439
"V.231",-141.534104453581,-35.470309586373
"V.232",-141.460611618112,-37.5051663740924
"V.233",-141.381162857686,-39.5262295947829
"V.234",-141.294938549604,-41.5342403239696
"V.235",-141.199302240845,-43.529085863531
"V.236",-141.097395818429,-45.5116029116406
"V.237",-140.985804187769,-47.4844176760341
"V.238",-140.863024707249,-49.4488313077485
"V.239",-140.727527414494,-51.4063669389688
"V.240",-140.577167630106,-53.3583325509209
"V.241",-140.409267919928,-55.3062307852222
"V.242",-140.220713717701,-57.2514823212202
"V.243",-140.007529853327,-59.1956102910997
"V.244",-139.764580024549,-61.1399260911814
"V.245",-139.485156985604,-63.0859016272314
"V.246",-139.160367830191,-65.0348687861378
"V.247",-138.778423651804,-66.9881457944106
"V.248",-138.323027619083,-68.9468459728843
"V.249",-137.770478975607,-70.9120484914479
"V.250",-137.086285266069,-72.8844910105317
"V.251",-136.223003996492,-74.8662020963192
"V.252",-135.084083612771,-76.8560274468407
"V.253",-133.526499953685,-78.8515013638057
"V.254",-131.272728772877,-80.8484574318207
"V.255",-127.740428141714,-82.8376817256952
"V.256",-121.475150257574,-84.7922154887752
"V.257",-107.999979327083,-86.62368290339
"V.258",-71.999937344156,-87.9243421666571
"V.259",-105.780604978936,27.189244802677
"V.260",-104.442789486583,25.4776796513945
"V.261",-103.147812940706,23.7645042830153
"V.262",-101.893325756228,22.0530945185364
"V.263",-100.675421064945,20.3456889524585
"V.264",-99.491558036485,18.6431225754076
"V.265",-98.337338029022,16.9457932459027
"V.266",-97.209345947973,15.2540578413281
"V.267",-96.103674925131,13.5695001117975
"V.268",-95.020051752931,11.8906601043759
"V.269",-93.953203525331,10.2168454086361
"V.270",-92.900261562882,8.54759413303556
"V.271",-91.858466469158,6.88216136006785
"V.272",-90.825140810006,5.2200100661095
"V.273",-89.797552509755,3.56039938907899
"V.274",-88.773270021064,1.9026238985011
"V.275",-87.749697872046,0.245820962827992
"V.276",-86.724404515357,-1.41064996161843
"V.277",-85.694794479112,-3.06761404706727
"V.278",-84.658354253698,-4.72573232776413
"V.279",-83.612461046472,-6.38580468289385
"V.280",-82.554574027064,-8.04841146509247
"V.281",-81.481879157535,-9.71415970742247
"V.282",-80.391535079191,-11.3835134358606
"V.283",-79.281274169227,-13.0589443251127
"V.284",-78.145659597064,-14.7386142005185
"V.285",-76.983243362598,-16.4223548686696
"V.286",-75.790910899567,-18.1098794616209
"V.287",-74.565329075657,-19.8013109227775
"V.288",-73.302536381148,-21.4948051010633
"V.289",-71.99999198567,-23.1887210435305
"V.290",-70.655291662634,-24.8795224197361
"V.291",-69.780617637523,-27.189244802677
"V.292",-69.725511671299,-29.2783811037305
